;Unnamed: 0;ID;descr;feat_balkon;feat_domofon / wideofon;feat_drzwi / okna antywłamaniowe;feat_internet;feat_pom. użytkowe;feat_telefon;feat_telewizja kablowa;feat_teren zamknięty;ov_Liczba pięter;ov_Liczba pokoi;ov_Piętro;ov_Powierzchnia;ov_Rodzaj zabudowy;ov_Rynek;ov_Czynsz;ov_Dostępne od;ov_Forma własności;ov_Materiał budynku;ov_Ogrzewanie;ov_Okna;ov_Rok budowy;ov_Stan wykończenia;feat_garaż/miejsce parkingowe;feat_ogródek;feat_piwnica;feat_taras;feat_winda;feat_monitoring / ochrona;feat_system alarmowy;feat_klimatyzacja;feat_oddzielna kuchnia;feat_kuchenka;feat_meble;feat_piekarnik;feat_lodówka;feat_zmywarka;feat_pralka;feat_dwupoziomowe;feat_telewizor;feat_rolety antywłamaniowe;feat_
7038;7038;42YPX;"Piękny nowoczesny apartament w centrum Mokotowa przy Galerii MokotówOferuję do sprzedaży nowy apartament, w pobliżu biznesowego centrum Warszawy.
Nowoczesna i estetyczna aranżacja wnętrza!

Na powierzchnię 44 m2, składa się:

aneks kuchenny otwarty na salon,
osobna sypialnia,
łazienka i
hall.

Z salonu i sypialni wyjście na balkon
Do mieszkania przynależy miejsce postojowe w garażu podziemnym w cenie 35.000,00 zł.Zapraszam na prezentacjęPomimo, iż Doradcy Metrohouse przykładają szczególną staranność do rzetelnego prezentowania informacji o nieruchomości, nie zawsze jest możliwa weryfikacja wszystkich danych przekazanych od osób trzecich. Niniejsza prezentacja oferty nie jest ofertą w rozumieniu Kodeksu Cywilnego i ma charakter wyłącznie informacyjny.";1.0;1.0;1.0;;;;;1.0;5.0;2;4;43,60 m²;apartamentowiec;wtórny;;;pełna własność;pustak;miejskie;plastikowe;2019.0;do zamieszkania;1.0;;;;1.0;;;;;;;;;;;;;;
7090;7090;43dSE;"Inwestycja Bliżej Gwiazd to miejsce, które daje wiele możliwości. To idealna przestrzeń do życia, odpoczywania i poszerzania wiedzy o astronomii i wszechświecie dosłownie każdego dnia. Oprócz komfortowo zaprojektowanych mieszkań, projekt wyróżnia, unikalna na skalę Polski, przestrzeń wspólna dla mieszkańców, w której znajdzie się Obserwatorium gwiazd i Park księżycowy i Park gwiazd. Obserwowanie nieba może być doskonałym sposobem na relaks i wspólne spędzanie czasu z rodziną czy przyjaciółmi. Zgłębianie wiedzy astronomicznej to świetny sposób na zyskanie nowych horyzontów, a także pomysł na hobby dla całej rodziny.

Osiedle Bliżej Gwiazd na Mehoffera to dwuetapowy projekt, który powstanie na powierzchni ponad 12.000m2 na najatrakcyjniejszym obszarze dzielnicy Białołęka. I etap to kameralny, 4-piętrowy budynek z 64 mieszkaniami o metrażach od 26 do 96m2. 

Inwestycję otaczają liczne tereny zielone. W pobliżu są atrakcyjne tereny spacerowe, wspaniałe trasy wycieczkowe nad Wisłą i trasy rowerowe. Lokalizacja daje możliwość odpoczynku, relaksu, zadbania o formę i oddania się swoim sportowym pasjom w przyjaznej , bezpiecznej i wyjątkowo zielonej scenerii. Ulica Mehoffera to otoczenie idealne dla rodzin z dziećmi. Powstają tu nowe żłobki, przedszkola i klubiki dla mam z dziećmi. Okolica posiada dobrze rozwiniętą infrastrukturą. W niewielkiej odległości znajdują się szkoły, ośrodki zdrowia, miejsca rozrywki i kultury, kluby fitness, małe sklepy i centra handlowe.
Inwestycja Bliżej Gwiazd na Mehoffera znajduje się na Nowodworach, ul. Mehoffera (11.7 km od centrum Warszawy), jest realizowana przez dewelopera INREST GROUP.

Inwestycja Bliżej Gwiazd na Mehoffera jest w trakcie budowy z planowanym na 4 kw. 2020 roku terminem oddania do użytkowania. Cały projekt składa się z 64 nowych mieszkań. Budynek posiada 5 kondygnacji naziemnych wraz z parterem oraz 1 kondygnację podziemną.";;;;1.0;;1.0;1.0;;4.0;2;1;31,51 m²;;pierwotny;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;
7113;7113;43jqh;"APARTAMENTY PREMIUM DO 26 pieter, klimatyzacja w standardzie !

SUPER LOKALIZACJA !!! Metro - Centrum

2km do Centrum, Autobusy, tramwaj, METRO, SKM, Parki i Veturilo !!!
Do apartamentu miejsce w garażu i komórka dodatkowo płatne.
 
 
BEZPOŚREDNIO – PRYWATNA OFERTA - wizualizacje wykończenia
BEZ AGENCJI
 
Umów się na spotkanie !!! INWESTYCJA W BUDOWIE !!!Proszę o kontakt telefoniczny lub mailowy:
Michałt. 514.800*109



Lokalizacja
Osiedle Bliska Wola powstaje na warszawskiej Woli – w jednej z najbardziej atrakcyjnych dzielnic Warszawy ze względu na położenie – bardzo dobry dojazd w każdą część miasta, szybki rozwój oraz biznesowy charakter.

Projekt
Bliska Wola Tower wchodzi w skład osiedla Bliska Wola. Znajduje się na nim kompleks budynków, w którym oprócz mieszkań i przestrzeni rekreacyjnej znajdą się również apartamenty na wynajem, powierzchnie biurowe i usługowo-handlowe.

Dodatkowe udogodnienia
Na terenie osiedla znajdować się będzie Central Park z boiskami do gry w piłkę, samoobsługowa pralnia oraz klub fitness.";1.0;1.0;;1.0;;1.0;1.0;1.0;26.0;2;;46 m²;apartamentowiec;pierwotny;;;pełna własność;cegła;;;;;1.0;;;;1.0;1.0;1.0;1.0;;;;;;;;;;;
7122;7122;4401s;"Posiadamy w sprzedaży dwustronne, klimatyczne mieszkanie na pograniczu Mokotowa, Ochoty i Śródmieścia (w okolicach skrzyżowania ul. Koszykowej i al. Niepodległości). Mieszkanie znajduje się na IV piętrze w V piętrowej kamienicy z 1936 roku. Składa się z przedpokoju, trzech pokoi, oddzielnej kuchni ze spiżarnią, łazienki z oknem, osobnego WC, balkonu i 10m piwnicy (wymiary pomieszczeń na jednym ze zdjęć). Okna z kuchni, łazienki i sypialni wychodzą na północ a salonu z balkonem (4,5m) i drugiej sypialni na południe. Widok z salonu i jednej z sypialni nie przysłonięty żadnym budynkiem. Salon wydaje się bardzo przestronny a po otwarciu skrzydłowych drzwi balkonowych wrażenie przestrzeni jest jeszcze większe. Mieszkanie zaprojektowane w czasach gdy rozkłady mieszkań miały zapewnić mieszkańcom duży komfort i przestrzeń. Grube mury kamienicy o szerokości 65 cm wykonane z cegły cementowej gwarantują przyjemny chłód latem i ciepło zimą. Oryginalne drewniane okna. Na podłogach znajduje się również oryginalny parkiet dębowy (wymaga cyklinowania) oraz oryginalna terakota i kafelki. Wysokość pomieszczeń to 2,71 m. Wymieniona instalacja z licznikami na miedzianą. Kuchenka gazowa. W łazience wanna firmy Kaldwei.W bliskiej odległości liceum Staszica, Hala Koszyki, Politechnika, metro, Dworzec Centralny – mieszkanie znajduje się praktycznie w Centrum Warszawy, a jednak jest bardzo ciche ponieważ okna wychodzą na dziedziniec. Budynek chroniony i monitorowany. Godne polecenia ze względu na lokalizację, klimat i rozkład, widok z balkonu oraz przygotowany projekt architekta.
Dodatkowe informacje: Czynsz 708 zł, 4 osobowa winda Otis, dwa mieszkania na piętrze, czysta zadbana klatka, kulturalni sąsiedzi. Istnieje możliwość parkowania na terenie podwórka. Pełna własność z KW.  Agent odpowiedzialny za prezentację mieszkania: Łukasz Wojciechowski Tel. 661601544";1.0;1.0;;1.0;;1.0;1.0;;5.0;3;4;86,57 m²;kamienica;wtórny;807 zł;;pełna własność;cegła;miejskie;drewniane;1936.0;do remontu;1.0;;1.0;;1.0;;;;1.0;;;;;;;;;;
7187;7187;44qXx;"Wspaniale zaprojektowane osiedle pośród zielonych terenów Chrzanowa.
 
400m do stacji II linii METRA!
 
(1B33)   
Prezentujemy nowe 3-pokojowe mieszkanie usytuowane na 1. piętrze kameralnego budynku przy ul. Szeligowskiej.
Mieszkanie o powierzchni 62,49m2 składa się z przestronnego salonu połączonego z aneksem kuchennym (21,44m2), ustawnych dwóch sypialni (11,26m2 i 10,10m2), dwóch łazienek (5,93m2 i 4,50m2) oraz holu z miejscem na szafę wnękową (7,34m2). Dodatkowym atutem jest przynależący do mieszkania balkon (5,60m2).
 
 
Lokalizację inwestycji charakteryzuje bliskość sklepów spożywczych. W pobliżu znajdują się także place zabaw, szkoły i przedszkola. W zasięgu ręki są galerie handlowe takie jak Wola Park czy Fort Wola.
W przyszłości w odległości zaledwie 500m od inwestycji będzie stacja drugiej linii metra.
 
Komunikacja miejska:
- Chrzanów (180m)
Autobus: 743
- Człuchowska (705 m)
Autobus: 105, 112, 189, 190, N42, N45
- Siemiatycka (770 m)
Autobus: 105, 112, N42, N45
- Batalionów Chłopskich (831 m)
Autobus: 105, 189, 190, N45
- Sternicza (959 m)
Autobus: 105, 112, 743, N42, N45
- Rozłogi (961 m)
Autobus: 112, 189, 190, N42
 
 
Na osiedlu znajdzie się ogromny pas zieleni, który posłuży do relaksu, natomiast dla najmłodszych powstanie plac zabaw przy realizacji kolejnych etapów osiedla. Inwestycje wyróżniać będą duże tarasy, balkony, a na parterach pokaźne ogródki.
 
 
Inwestycja w trakcie budowy. Planowany termin oddania to IV kwartał 2021 r.
 
Zakup bez 2% podatku PCC oraz bez prowizji!
 
W dalszym ciągu dostępne są inne rozkłady i metraże mieszkań w tej inwestycji – zapraszamy do kontaktu.
 
Zapraszamy do kontaktu pod numerem telefonu: 662 969 687 lub przez formularz.
 
Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.
 ";1.0;1.0;1.0;;;;;1.0;4.0;3;1;62,49 m²;apartamentowiec;pierwotny;;;;inne;;;;do wykończenia;1.0;;;;1.0;1.0;;;;;;;;;;;;;
7258;7258;444iJ;"Ekskluzywna inwestycja !   Projekt znajduje się na Pradze Północ przy ulicy Konopackiej.
(2.1)
Prezentowane 1 pokojowe mieszkanie o powierzchni 38,46m2 ulokowane na  2 piętrze, posiadające przestronny, słoneczny salon+ sypialnia (21,34m2), aneks kuchenny (8,78m2), bardzo dobrze usytuowaną łazienkę (3,74m2), hol (3,77m2). Dodatkowym atutem jest przynależny do mieszkania balkon (3,12m2). 
 
5 piętrowym nowoczesny  apartamentowiec z garażem podziemnym położony jest w świetnej lokalizacji, a całość osiedla  ogrodzona. Dodatkowym atutem zapewniającym mieszkańcom bezpieczeństwo  jest całodobowa recepcja i monitoring. Do dyspozycji mieszkańców będą balkony, kameralne ogródki oraz tarasy.  W okolicy znajduje się Skwer płk. Antoniego Władysława Żurowskiego. 
 
ZALETY INWESTYCJI:
- świetna lokalizacja w pobliżu wiele linii autobusowych i tramwajowych; - w pobliżu place zabaw i Skwer płk. Antoniego Władysława Żurowskiego;  - w okolicy żłobki, przedszkola, szkoły, licea;  - dostęp do opieki zdrowotnej, apteki; - niedaleko osiedla Lidl oraz sklepy osiedlowe; - do ścisłego centrum Warszawy ok. 25 min.  LOKALIZACJA:
 
Inwestycja w świetnej lokalizacji, w pobliżu Skwer płk. Antoniego Władysława Żurowskiego oraz wiele placów zabaw.
Najbliższe stacje i dworce kolejowe: - Warszawa Wileńska (449 m) - Warszawa Wschodnia (1336 m)
 
- Strzelecka (80 m)
Autobus: 169
- Konopacka (99 m)
Tramwaj: 23
Autobus: N03N14N64
- Harnasie (165 m)
Autobus: 169
- Środkowa (238 m)
Tramwaj: 23
- Inżynierska (315 m)
Tramwaj: 342325
Autobus: 166169170338N03N14N64
 
Termin realizacji: IV kwartał 2019
 
Zakup bez 2% podatku PCC oraz bez prowizji!
 
W dalszym ciągu dostępne są inne rozkłady i metraże w tej inwestycji – zapraszamy do kontaktu.
 
Zapraszamy do kontaktu pod numerem telefonu: 662-775-008 lub przez formularz.
 
Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.";1.0;1.0;;;;;;1.0;5.0;1;2;38,46 m²;apartamentowiec;pierwotny;;;;inne;miejskie;;;do wykończenia;1.0;;;;1.0;1.0;;;;;;;;;;;;;
7393;7393;43v2D;"Rezydencja pod Świerkami
ul. Fabryczna 6a, Warszawa – Wesoła
 
Rodzinny i kameralny budynek w zielonym otoczeniu.
Rezydencja pod Świerkami to wyjątkowa lokalizacja, która zapewnia równocześnie spokój, bliskość natury, wygodną komunikację oraz dostępność infrastruktury usługowej. W sprzedaży znajduje się 58 apartamentów do których zapewniliśmy miejsca postojowe w hali garażowej. Dla wygody mieszkańców w projekcie uwzględniliśmy również jeden lokal usługowy. Obiekt przystosowany będzie do całodobowego monitoringu.
Zielone otoczenie
Okoliczna zieleń i niska zabudowa tworzą klimat spokojnej dzielnicy mieszkaniowej. Na terenie osiedla znajduje się plac zabaw otoczony przepięknymi, wieloletnimi świerkami. W pobliżu osiedla mieści się Mazowiecki Park Krajobrazowy i malownicze jeziorko. Okolica ma rozbudowaną infrastrukturę dróg rowerowych, w sam raz na rodzinne wycieczki.
Lokalizacja - 20 minut do centrum Warszawy
Osiedle w Starej Miłosnej w Wesołej jest w bardzo dogodnym położeniu pozwalającym na łatwy dojazd do centrum Warszawy w 20 minut (15km od centrum). W pobliżu znajduje się przystanek autobusowy i bogata infrastruktura handlowo usługowa. W sprzedaży 58 apartamentów, garaże i lokal usługowy.
 
​
 
 ";1.0;1.0;;1.0;;1.0;1.0;1.0;3.0;4;3;72,85 m²;blok;pierwotny;;;pełna własność;cegła;gazowe;plastikowe;2021.0;do wykończenia;1.0;;1.0;;1.0;1.0;;;;;;;;;;;;;
7421;7421;44jlT;Dwupokojowe mieszkanie w stanie deweloperskim na Bielanach z dwoma ogródkami.Duży pokój z aneksem kuchennym i małym ogródkiem, sypialnia z ogródkiem ok 60 m2, łazienka z wc oraz przedpokój. Do lokalu przynależy miejsce w garażu podziemnym płatne dodatkowo 30000 zł. Budynek nowy, dobrze usytuowany. W pobliżu dużo zieleni, sklepy, kościół. Mieszkanie dostępne od zaraz. Zapraszamy do oglądania.::LINK DO STRONY Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Dominik Wierzbicki (licencja nr: 22099) ;;;;;;;;;;2;parter;52 m²;blok;wtórny;540 zł;;;cegła;miejskie;plastikowe;2019.0;;;1.0;;;1.0;1.0;;;;;;;;;;;;;
7424;7424;42DRW;+ DODATKOWA WYSOKA ZNIŻKA! Zadzwoń tel.696 666 999 Tylko w VIVA INVESTWYBÓR NOWYCH MIESZKAŃ 0% PCC, 0% prowizja + UNIKALNE OFERTY Z RYNKU WTÓRNEGO____Kameralny apartamentowiec, ktory łączy w sobie nowoczesne jasne wnętrza z wysokiej jakości wykończeniem. Powierzchnia mieszkań jest komfortowa i tworzy przyjazną atmosferę, którą zapewniają naturalne materiały, dobry rozkład oraz duże drewniane okna.Inwestycja składa się z 51 apartamentów od 3 do 159 m2. Dodatkowo dla mieszkanców dostępny będzie podziemny garaż dwukondygnacyjny, komórki lokatorskie oraz lokal usługowy na parterze. Osiedle zlokalizowane jest w cichej i bezpiecznej, a zarazem świetnie skomunikowanej okolicy. W niedalekiej odległości zlokalizowane są centra handlowe, sklepy, kawiarnie, szkoły i przedszkola, czy inne usługi potrzebne w codziennym życiu. Budynek otaczają tereny zielone, oraz liczne alejki. W pobliżu znajduje się wiele ścieżek rowerowych, oraz stacje Veturilo.______ *możliwość korzystnej sprzedaży własnego mieszkania - bezpłatna wycena na bazie cen transakcyjnych *oferta z wizualizacja wnętrza stanowi propozycję wykończenia dodatkowo dostępną w promocji.  SPRAWDŹ    CENTRUM INWESTYCJI MIESZKANIOWYCH.  WYBÓR NIERUCHOMOŚCI W WARSZAWIE.  ;;1.0;1.0;;;;;;6.0;4;4;73,80 m²;;pierwotny;;2020-01-01;;;;;2020.0;;;;;;;;;;;;;;;;;;;;
7430;7430;3V4hO;"Ekskluzywny nowoczesny apartament umeblowany elegancko z wyczuciem smaku i najwyższej klasy materiałami w apartamentowcu z ochroną.
 W skład apartamentu o powierzchni 147 m2 wchodzą:

Bardzo przestronny salon z aneksem kuchennym, jadalnią 48,46 m2 z wyjściem na komfortowy 10 m2 balkon,
Sypialnia 13,90 m2 + łazienka 3,92 m2,
Sypialnia 13,25 m2,
Sypialnia 12,43 m2,
Sypialnia 12,67 m2,
Sypialnia 12,00 m2,
Korytarz prowadzący do części prywatnej mieszkania 11,82 m2,
Łazienka 6,53 m2,
WC 4,94 m2
Garderoba 4,66 m2
Garderoba 3,86 m2
Do mieszkania przynależą 2 logggie o powierzchni 10,48 m2 i 10,85 m2.
Do mieszkania przynależą dwa miejsca postojowe w garażu podziemnym płatne obligatoryjnie 35 tys. zł /1 miejsce.

 Własność z KW, czynsz 1.300,00 zł

W dwóch sypialniach z balkonem o ekspozycji zachodniej, zainstalowano klimatyzację Cały apartament wykończony jest naturalnymi materiałami, tj.:  - parkietem dębowym wenge olejowanym w każdym pokoju, - posadzkami marmurowymi w holu i kuchni oraz w głównej łazience,   Meble w pomieszczeniach funkcjonalnie zaprojektowane na wymiar: mdf i szkło.  Bardzo ciekawe miejsce, serdecznie zapraszam na prezentację.

Oferuję pomoc w realizacji środków finansowych na zakup nieruchomości
";1.0;1.0;1.0;;1.0;1.0;1.0;1.0;10.0;5;6;147,44 m²;apartamentowiec;wtórny;1 300 zł;2019-03-01;pełna własność;cegła;miejskie;plastikowe;2009.0;do zamieszkania;1.0;;1.0;;1.0;1.0;;1.0;;;1.0;;;;;;;;
7457;7457;44gui;Powstają tu atrakcyjne osiedla, punkty usługowe, restauracje, sklepy i centra handlowe, a liczne tereny zielone przyjmują charakter sprzyjający aktywnemu wypoczynkowi. Lokalizacja inwestycji pozwala w kwadrans dotrzeć do Metra Marymont, a samochodem do Centrum 20 minut.W inwestycji zaprojektowano 75 mieszkań w metrażach od 29 do 89. Są to przede wszystkim mieszkania 2pokojowe, a także 3 i 4- pokojowe. Wszystkie zaprojektowane zostały w sposób ułatwiający funkcjonalną aranżację wnętrz. Niewątpliwym atutem są duże okna, częściowo o narożnym układzie, co pozwala na doskonałe doświetlenie wnętrz. Do lokali na parterze przynależą ogródki w których można zaplanować indywidualną aranżację zieleni. W ofercie sprzedaży znalazło się 86 miejsc parkingowych w jednopoziomowym garażu podziemnym.;;;;;;;;;5.0;3;3;61,64 m²;;pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
7470;7470;43Y1k;"Zapraszamy do zapoznania się z nowym projektem na Mokotowie.NOWE mieszkanie w zielonej części Mokotowa.Zakup mieszkania jest BEZPOŚREDNIO od dewelopera, 0% prowizji i 0% podatku PCC.Teraz masz możliwość skorzystania z najniższych cenPełna oferta mieszkań od kawalerek po duże apartamentowce.Główne cechy inwestycji:✔ videomofon✔ projekt składa się z dwóch budynków✔ Domofon, drzwi antywłamaniowe, monitoring✔ nowoczesne rozwiązania✔ reprezentatywne wejście✔ duże okna - maksymalny dostęp do światła dziennego✔ przeszklone balkony✔ przestronne balkony do każdego mieszkaniaLokalizacja:✔ kameralna zabudowa w okolicy✔ 4 minuty przystanek autobusowy✔ 25 min Centrum (519)✔ 5 minut do Sobieskiego - tramwaj w 2022/2023r Wola - Wilanów✔ miejsca rekreacji Fort IX (""Czerniaków"", ""Dąbrowskiego"", ""Sadyba""✔ Park Dolinki Służewieckiej✔ 10 minut Park WilanowskiW zasięgu paru kroków:✔ 10 min pieszo szkoły, przedszkola✔ apteki, sklepy, bankomaty, cukiernie, piekarnie✔ 15 minut komunikacja Sadyba Best MallPrzewidziany termin realizacji I kwartał 2022 ( każda inwestycja oddana terminowo lub z wyprzedzeniem)Do mieszkania jest możliwość dokupienia miejsca postojowego.Co więcej :Istnieje możliwość wykończenia mieszkania pod klucz. Niezobowiązująca wizyta z architektem.Zdjęcia przykładowych realizacji, nie są częścią oferty.Zapraszam na prezentację nieruchomościSebastian - 572 773 454";1.0;1.0;1.0;1.0;1.0;1.0;1.0;;10.0;4;9;82,08 m²;;pierwotny;;;;;;;2022.0;;1.0;1.0;;1.0;1.0;1.0;1.0;;;;;;;;;;;;
7533;7533;3YaTV;Prezentowana nieruchomość to elegancki apartament na sprzedaż, zlokalizowany przy ulicy Kłopot na pograniczu Śródmieścia i Żoliborza, tuż przy centrum handlowym Arkadia.PARAMETRY NIERUCHOMOŚCIApartament ma powierzchnię 87,75 m2. Znajduje się na drugim piętrze. Składa się z dwóch pokoi, w tym salonu z przyjemnym, bio kominkiem, połączonego z aneksem kuchennym oraz częścią jadalną, jednej sypialni połączonej z garderobą i łazienką, drugiej, oddzielnej łazienki z prysznicem dla gości oraz pomieszczenia gospodarczego. Jest w pełni wyposażony i umeblowany w najwyższym standardzie. Meble renomowanych marek wykonane na zamówienie pod wymiar.  Podłogę pokrywa parkiet dębowy pierwszej klasy pokryty olejowoskiem, płytki w przedpokoju, pralni i łazience zostały sprowadzone na zamówienie z Włoch, podłoga podgrzewana. W całym apartamencie znajduje się nagłośnienie Cabasse, oraz klimatyzacja. Dodatkowo do mieszkania przynależy przestronny, przyjemny taras wielkości 15m2 oraz miejsce postojowe w garażu podziemnym, dodatkowo płatne. Kompleks całkowicie zamknięty, chroniony i monitorowany.KOMUNIKACJA I OKOLICANieopodal budynku znajduje się galeria handlowa Arkadia, a kilkaset metrów dalej znajduje się Gdanski Business Center - kompleks budynków biurowych, z siedzibami wielu firm. Miejsce znajduje się w świetnym punkcie komunikacyjnym - niedaleko stacja metra Dworzec Gdański, przystanki tramwajowe oraz autobusowe. W pobliżu znajdują się przychodnie, kluby fitness, szkoły podstawowe, licea oraz liczne sklepy.W NASZEJ OPINIITa nieruchomość świetnie sprawdzi się dla singla lub pary. Z pewnością docenią ją również, osoby odnajdujące się w najwyższej klasy, ciepłym, domowym wnętrzu.Więcej unikalnych ofert w podobnych kryteriach znajdą Państwo na naszej stronie . Zapraszamy!The presented property is an elegant apartment for sale, located at Kłopot street on the border of Śródmieście and Żoliborz, next to the Arkadia shopping center.PROPERTY PARAMETERSThe apartment has an area of ​​87.75 m2. It is located on the second floor. It consists of two rooms, including a living room with a pleasant, bio fireplace, combined with a kitchenette and a dining area, one bedroom connected with a dressing room and bathroom, another separate bathroom with a shower for guests and a utility room. It is fully equipped and furnished to the highest standard. Furniture from renowned brands made to order under dimension. The floor is covered with first class oak parquet covered with oil, tiles in the hall, laundry room and bathroom have been imported to order from Italy, heated floor. The apartment has a sound system Cabasse, and air  addition, the apartment includes a spacious, pleasant terrace size of 15m2 and a parking space in the underground garage, additionally payable. Complex completely enclosed, protected and monitored.COMMUNICATION AND SURROUNDINGS Near the building there is the Arkadia shopping mall, and a few hundred meters further there is the Gdanski Business Center - a complex of office buildings, with the headquarters of many companies. The place is located in a great communication point - near the Dworzec Gdański metro station, tram and bus stops. Nearby there are clinics, fitness clubs, primary schools, high schools and numerous shops.IN OUR OPINION This property is perfect for a single or a couple. Certainly, people who find themselves in the highest class, warm, home interior will appreciate it as well.Please visit our website to find more unique offers with similar criteria! ;;;;;;;;;8.0;2;2;87,75 m²;apartamentowiec;wtórny;;;;;;drewniane;;;1.0;;;1.0;1.0;;;;;;;;;;;;;;
7805;7805;3Pmwe;Mieszkanie w którym się zakochasz.Wyjątkowe, niebanalne, o niestandardowym wykończeniu - to określenia, które idealnie opisują to niesamowite mieszkanie. Przedstawiam mieszkanie znajdujące się na ostatnim piętrze w 4-piętrowym bloku. Całość powierzchni to 76,05m2.Otwarty salon łączy część wypoczynkową, jadalnię oraz kuchnię.  Ze względu na niepowtarzalną wysokość, która w najwyższym punkcie wynosi 5,5m, była możliwość zaaranżowania dużej przestrzeni na najbardziej atrakcyjną część mieszkania, którą jest przeszklona antresola.Z tej części mieszkania, wyjdziemy również na przestronny balkon. W budynku nie ma windy.W salonie znajduje się również klimatyczny DWUSTRONNY kominek, którego druga strona znajduje się w sypialni, dzięki czemu praktycznie z każdej części mieszkania możemy odpocząć przy ogniu.Do mieszkania przynależy miejsce postojowe w garażu podziemnym (płatne dodatkowo 25 000zł). Budynek jest bardzo dobrze skomunikowany z centrum Warszawy, do pętli autobusowej jest około 200m. W pobliżu pełna infrastruktura: liczne sklepy, szkoły, przedszkola oraz centrum handlowe.Masz jakieś pytania? Zadzwoń!Umówmy się na prezentację.;1.0;;;1.0;;1.0;;;4.0;2;4;76,05 m²;blok;wtórny;;2019-03-31;pełna własność;inne;miejskie;;2002.0;;1.0;;;;;;;;;;;;;;;;;;
7825;7825;44heD;"PRZESTRONNY KOMFORTOWY APARTAMENT DLA DUŻEJ RODZINYDo sprzedaży komfortowy 5-pokojowy apartament o powierzchni 118,94m2 usytuowany na parterze 4-lokalowego apartamentowca z 2018r. położonego w otoczeniu zabudowy jednorodzinnej, w cichej i spokojnej okolicy na Zaciszu.Bliskość komunikacji miejskiej (stacja metra Trocka, autobusy przy ul. Radzymińskiej) oraz rozwinięta infrastruktura dookoła sprawiają, że mieszkanie jest idealną opcją dla rodziny.Wysoki standard wykończenia budynku i części wspólnych - domofon/wideofon, system alarmowy, piękna klatka schodowa (granit). Teren zamknięty i monitorowany.Funkcjonalny rozkład pomieszczeń:- salon z aneksem kuchennym o powierzchni niecałe 50 m2 z wydzielonym miejscem na kominek oraz wyjściem na duży balkon - jest możliwość wyodrębnienia osobnej widnej kuchni z jadalnią;- 3 sypialnie (14,7m2 z dużym balkonem; 11m2; 10,2m2) - ekspozycja okien na południowy zachód;- gabinet  - ekspozycja okien na północny wschód;- 2 łazienki - o pow. 3,77m2 oraz o pow. 4,65m2;- hall (ok. 13,4 m2) z miejscem na szafę oraz wejściem do garderoby (ok. 3m2)Stan deweloperski. Na ścianach gładzie pomalowane na biało, na podłodze szlichta, grzejniki aluminiowe. Ogrzewanie centralne (gazownia na poziomie garażu), pozostałe media miejskie.Zapraszam na prezentację. Nieruchomość godna uwagi.Lokalizacja: Warszawa/Targówek, ul. BajecznaCena: 910 000 zł  ( 7 651 zł/m2 )Cena podlega negocjacjiPowierzchnia: 118,94 m2, Piętro: parter / 1Rok budowy: 2019, Budynek: apartamentowiec, POKOJE: Liczba pokoi: 5, Pokój 1: 49,71 m2, podłoga: szlichta, strona świata: płd-zach, Pokój 2: 14,73 m2, podłoga: szlichta, strona świata: płd-zach, Pokój 3: 10,2 m2, podłoga: szlichta, strona świata: płd-zach, Pokój 4: 10,91 m2, podłoga: szlichta, strona świata: płd-zach, Pokój 5: 8,84 m2, podłoga: szlichta, strona świata: płn-zach, KUCHNIA: Opis: możliwość wyodrębnienia osobnej widnej kuchni, Amfilada: Nie; Rodzaj kuchni: aneks kuchenny, Podłoga: szlichta, Okno kuchni wychodzi na: płn-wsch, Położona glazura: brak; ŁAZIENKA: Liczba łazienek: 2, Powierzchnia: 8,42 m2, Opis: łazienka nr 1 o pow. 3,77m2;  łazienka nr 2 o pow. 4,65m2, Podłoga: szlichta, Położona glazura: brak; stan lokalu: developerski, głośność: ciche, wolne od: wolne, ochrona: monitoring, alarm, garaż, parking: miejsce w garażu, ogródek 50 m2, domofon, TV kablowa, Internet, balkon 12 m2, garderoba 2,82 m2, liczba stron: trójstronne, materiał: techn. mieszana, ciepła woda: miejska, ogrzewanie: centralne, Więcej informacji oraz możliwość umówienia spotkania: Agent prowadzący: Magdalena Łabućtel.: 530 944 972Nad jakością obsługi oferty czuwa pani Magdalena Łabuć - licencjonowany pośrednik w obrocie nieruchomościami, nr licencji 19420Godziny otwarcia: pon. - pt.: 9:00 - 19:00; sob.: 9:00 - 14:00--- Zapraszamy ---";1.0;;;1.0;;;1.0;;1.0;5;parter;118,94 m²;;pierwotny;;;pełna własność;;;plastikowe;2019.0;do wykończenia;1.0;1.0;;;;;;;;;;;;;;;;;
