id,cena,liczba_pieter,liczba_pokoi,pietro,powierzchnia,rok_budowy
46ece,675000,6,2,5,54.99,2014
46mbx,619000,5,2,4,48.0,2000
450bW,559000,10,2,0,52.88,1988
45pQg,470000,5,2,1,45.72,2020
46m8r,840000,4,3,2,82.0,2004
46m7u,670000,10,4,8,63.59,1971
3J1TS,536000,26,2,2,43.0,2021
3HHIk,268000,20,1,7,20.0,2021
46m1N,775000,8,2,3,54.0,2009
46aZD,399000,8,2,8,39.0,2001
46lZb,559000,10,3,8,57.0,1972
46lV1,495000,4,3,2,56.0,1986
46lSw,895000,8,4,6,77.62,2016
46lOp,560000,5,2,3,43.0,2014
46lOh,529000,4,3,1,53.0,1980
46lOc,598000,4,4,0,63.5,1970
46lKB,490000,12,2,10,37.0,1973
46lJf,650000,7,2,1,53.0,2008
439fB,1200000,2,4,2,149.0,1994
464JQ,2650000,6,4,1,113.08,2015
46lHb,757400,10,3,7,70.4,1987
46lGN,515280,6,2,4,45.2,2020
45QEM,454000,4,2,2,33.8,2019
45Elw,680000,7,3,3,59.47,2021
45ElO,342240,7,1,3,29.76,2021
45Em8,418000,12,2,5,36.4,2021
45EmD,464970,5,2,3,42.27,2020
46lEJ,499919,5,2,1,45.53,2020
46lEG,484175,5,2,3,45.25,2020
46lEt,519800,5,2,4,45.2,2020
44tnh,330000,10,1,3,28.0,1974
43bHC,495000,4,2,1,49.0,1970
45Euj,550000,7,2,1,42.0,2017
46lDf,665000,10,3,1,64.0,1978
46lD9,1275000,6,4,4,100.0,2010
46lCC,805000,30,3,7,70.0,2000
46lB9,792829,8,4,5,80.1,2021
46lAQ,622720,7,3,6,55.6,2020
44wQB,599000,4,4,3,70.0,1987
43MkA,1290000,9,5,9,150.89,2009
43QVk,659000,7,2,1,45.71,2019
44Bko,529000,6,2,4,37.81,2015
45NLd,507780,5,2,2,48.36,2019
45S0I,699900,4,2,3,48.65,2019
46kja,939900,6,3,3,77.15,2013
4625t,2420000,5,3,5,113.3,2007
46265,2420000,5,4,5,113.3,2007
44Cam,1100000,16,3,10,103.8,2004
46lu0,1300000,6,4,6,78.0,2018
463Ry,697408,8,3,6,67.29,2021
46lwS,670000,6,2,1,36.17,2020
46lw5,939900,6,3,3,77.15,2013
46luE,625000,6,2,1,50.0,1976
467Ko,460000,6,1,4,35.0,2010
46ltC,445000,6,2,3,42.4,1980
46ltf,918000,6,2,2,54.0,2015
46lsN,1880000,8,3,8,116.8,2009
46l0L,1650000,7,3,6,98.0,2018
46lsq,610000,4,2,4,48.0,2000
46lsk,1189000,7,4,0,110.0,2006
46lrK,532000,10,2,2,49.0,2022
46lrM,675000,10,3,1,66.0,2022
46lrH,565000,15,3,7,57.0,1973
44Cc8,540000,6,2,4,39.1,2001
46j6m,415000,6,1,4,28.79,2012
463pb,650000,7,3,0,66.25,2019
46lpr,910000,5,3,4,82.0,2003
44g7Y,1710000,3,3,2,110.0,2018
44rD8,930000,5,3,2,78.0,2015
461Eu,1420000,7,3,1,84.0,2019
44VLH,519000,8,2,5,41.1,2006
46hhe,340000,10,1,10,24.7,1975
46lmP,729000,7,3,4,62.39,2014
46lmg,1300000,12,4,10,146.1,2000
46lmd,379000,10,2,1,30.0,1975
46lm8,2450000,2,4,1,170.0,2020
46em7,550000,4,3,3,68.8,1989
46lkW,339000,10,1,3,31.0,1979
46lkO,598845,26,2,4,53.95,2021
46lkN,582624,26,1,4,46.24,2020
46lkL,562872,8,1,0,35.29,2019
468g8,650000,3,4,0,66.5,1977
46liX,471000,4,3,0,47.1,1971
46lj0,460000,11,2,0,48.0,1970
46liV,619000,7,3,1,60.4,2015
46liU,379000,4,2,4,38.5,1980
46liR,399000,7,2,2,42.0,1980
46liN,449000,10,2,2,48.2,1972
46liK,465000,4,2,3,42.0,1998
46liD,699000,6,3,2,63.0,2016
467Cy,510000,8,2,4,45.0,1995
46lhg,789774,6,4,0,81.42,2020
460Z9,800000,10,4,0,91.0,1974
46leH,575000,7,2,1,47.9,2014
46lbD,1730000,6,4,6,119.73,2020
46lbC,595500,7,3,2,59.0,2020
46lbw,367545,10,1,9,30.96,2021
46lbt,641590,7,3,5,59.1,2019
46lbs,576274,10,3,2,59.4,2021
46lbl,652158,6,3,1,68.1,2020
46lbk,507662,6,2,3,38.0,2020
46lbj,391383,6,1,6,27.4,2020
46lbe,477000,10,2,5,37.0,2021
46lbf,498583,6,2,3,38.76,2020
46lbb,574200,10,4,0,59.4,2021
46lba,390200,6,1,6,27.5,2020
46laD,1249000,12,4,1,92.0,2017
46l9K,1880000,7,3,7,110.6,2009
46l92,825000,9,3,8,68.0,2018
46l81,1200000,3,5,3,178.0,2000
46l7v,610000,5,2,4,48.0,2000
46l5e,625000,4,3,1,63.0,1988
46l4n,840000,7,3,5,77.02,2003
45Ss0,1150000,9,4,8,95.0,2015
45U9l,928520,6,3,1,66.8,2020
46l2Y,890744,2,4,2,96.82,2018
46e6S,359000,10,1,5,31.0,1970
45Djs,1190000,6,3,4,87.38,2001
46kZY,710000,7,3,1,60.3,2010
46aIt,440000,6,1,2,33.97,2020
46kX7,920000,4,2,2,70.8,2013
462lO,649900,3,3,3,58.0,2000
46kWD,685000,11,2,3,61.3,2000
46bJq,640000,7,3,5,53.0,1977
45TIn,428000,4,3,4,53.0,1973
46h8H,540000,4,3,2,47.2,1970
46kTo,629000,5,3,0,60.85,1991
46kTp,1157619,2,5,2,119.12,2018
46kT7,1161267,2,5,2,119.5,2018
46kQo,566000,10,3,5,63.6,1974
46kQ9,720000,4,4,1,61.69,1975
45oCZ,999000,7,3,6,83.15,2019
3QF5u,1190000,13,4,8,121.5,1999
3V1n6,1920000,4,6,1,212.0,1995
40MpQ,796000,3,3,2,77.5,1997
467Fa,2970000,3,4,1,117.0,2012
46kO0,644964,4,3,2,64.13,2019
46kNA,565063,4,3,3,64.16,2019
46kNh,615000,6,2,6,44.0,2019
46kM9,1260000,6,4,4,100.6,2010
46kLA,385000,9,1,9,28.0,2009
46gyg,659000,3,4,3,74.0,1978
46iHU,490000,7,3,7,52.8,1978
4532Q,570000,10,3,1,53.3,1972
46kJl,840000,7,3,5,77.02,2003
46kJ3,585000,10,3,10,48.0,1970
46kIP,560000,4,4,4,70.4,1986
46kHx,790000,5,3,3,68.0,2008
46kH7,499000,5,2,0,48.0,2020
46kH6,496000,5,2,2,45.2,2020
44dUM,340000,10,2,9,31.0,1970
46kGq,660000,5,2,2,52.86,2000
46kGp,785000,4,2,2,72.6,2000
46kGo,540000,7,2,4,53.0,1978
46kGi,638998,4,4,4,74.32,2019
44G7p,990000,4,3,1,71.41,2022
45xSw,709000,5,3,1,60.9,2013
46kBY,1340000,6,4,4,133.0,2000
46kBp,1020000,4,4,4,102.0,1994
466U2,630000,14,3,7,57.7,2006
45jPp,799000,8,3,4,72.0,2019
46kxU,770000,3,3,2,86.0,2002
42X39,1800000,8,4,6,112.0,2008
45B3q,2960000,9,5,9,183.0,2008
46kwU,720000,4,2,0,48.94,2016
46kwL,1138000,9,4,8,99.8,1996
46ktT,419000,4,3,4,53.1,1976
46cu0,405000,5,1,0,34.7,2020
43Esw,829000,6,3,4,76.0,2010
46ksl,474720,7,2,3,39.56,2021
46dC0,560000,11,2,6,46.2,2008
466Mf,1280000,7,4,7,95.0,2008
46kky,359900,10,1,10,31.0,1974
46kk2,460000,12,3,7,54.0,1975
46kj2,419000,4,2,0,37.12,1980
46kiX,727000,6,3,2,72.85,2020
46kiT,1880000,8,3,7,110.6,2009
46kij,633000,3,3,3,67.0,1994
466HI,540000,6,2,3,40.0,2020
46khl,950000,2,3,1,130.0,2001
45yFX,675000,10,3,9,65.0,1973
46kdf,570000,4,4,4,64.0,1980
46kfu,1650000,7,3,7,98.0,2016
46deQ,1056120,8,4,8,101.55,2021
46keA,1590000,3,5,0,164.0,2000
45QWD,448118,8,1,5,37.45,2021
46kdZ,534999,10,2,7,50.0,1970
46kdT,360000,9,1,5,25.0,1975
46kdR,424000,8,2,4,36.0,2021
46kdO,850000,7,3,1,65.0,2018
46kdI,630799,9,3,3,66.0,1981
46kd6,1350000,7,3,4,84.0,2009
46kda,785000,4,2,2,70.0,2000
46kd3,730000,8,3,8,70.0,2002
46kcS,1800000,6,6,1,145.0,1999
46kcx,695000,6,3,5,59.0,2020
45DUb,738000,3,2,2,69.3,1997
46kbH,597525,7,3,0,57.2,2020
43K3g,749000,6,3,3,69.0,2009
45RWi,682630,8,3,0,70.44,2021
46k7L,580000,3,3,3,65.0,1992
41y1R,580000,7,2,4,53.44,2018
46k7j,599000,7,2,2,42.13,2014
46k7f,957500,3,4,3,89.0,2002
44Ulb,520000,11,2,3,39.0,2019
3Y3Zm,1100000,2,3,2,133.2,2001
46k5Q,599900,3,3,2,66.0,1992
46k5O,588000,10,3,2,53.0,1980
46k5G,599000,10,3,2,61.5,1980
46k5u,670000,4,3,1,65.0,2001
46k5r,769000,4,4,3,86.0,2003
44zFk,860000,6,3,0,70.0,2017
46k54,499000,10,2,2,43.0,1975
46k51,1345000,6,4,4,100.0,2010
46k4Z,598500,3,2,1,54.9,2001
46961,870000,8,3,1,76.0,2006
46k3a,895000,7,3,6,73.0,2019
46k25,735000,6,3,5,59.0,2020
46k1f,565000,10,3,7,57.0,1989
46cfn,570000,8,2,0,45.72,2018
469TU,530000,4,3,2,47.3,1970
469cQ,620000,10,3,2,61.5,1980
46k0l,1300000,3,5,3,132.6,2012
42zjI,619000,6,2,6,48.07,2010
468jJ,1550000,2,4,2,158.4,2009
46jYM,650999,6,3,1,68.1,2020
46jYJ,498583,6,2,3,38.76,2020
46jYA,477000,10,2,5,37.0,2021
46jYx,700700,5,3,0,73.0,2020
46jYs,629000,6,3,1,60.4,2015
46jYn,670000,5,3,1,71.0,2020
46jXQ,720000,18,2,9,45.0,2000
460Fq,1250000,3,5,2,154.0,1996
45otu,799000,8,3,5,72.0,2018
3Bdg8,638998,5,4,4,74.32,2019
46jVq,600000,6,2,1,44.2,2010
45kIz,539000,7,2,4,53.0,1978
3LDsE,1100000,4,5,2,105.91,1996
46jTM,625000,10,2,1,50.0,1976
46jTn,589000,12,3,10,48.43,2011
46jSY,577000,8,2,4,44.48,2018
46jSQ,523000,4,3,1,58.97,2020
462uN,539000,10,3,1,48.17,1974
46fwE,652158,6,3,1,68.1,2020
45VsH,710938,7,4,6,74.8,2020
46jRM,1760000,17,4,3,160.0,2000
46jQj,769000,10,2,3,54.0,2015
46jPX,380000,10,1,10,27.1,1970
44ygv,435999,5,2,3,34.89,2019
46dlK,377520,6,2,1,35.09,2020
463tD,849000,7,3,4,69.0,2020
466vZ,780000,11,2,3,61.0,2009
43TuV,670000,1,4,1,85.0,2021
46evc,1102815,8,5,1,105.03,2020
46evP,731325,8,3,5,69.65,2020
46cAA,2250000,2,5,0,216.0,2020
46cAC,1990000,2,4,0,173.0,2020
46cAx,496748,5,2,3,45.2,2020
46cAy,500000,5,2,0,48.0,2020
46jNj,525000,10,2,7,50.0,1970
46jNh,650000,7,2,2,47.7,1987
46jNc,600000,9,2,1,44.2,2009
45TgH,895000,7,3,6,73.0,2019
45WQo,1220000,6,5,3,109.6,2000
45qrl,999000,6,3,3,74.38,2019
46jDV,599000,8,2,7,51.1,2006
45NEl,265000,8,1,2,21.0,2021
46jKc,632323,7,3,1,61.22,2020
46jK3,980000,3,3,3,92.0,2002
46hTz,700000,2,2,2,68.5,1991
46jIQ,515000,5,1,4,40.0,2000
46jHY,951000,6,4,0,82.0,2007
3TY7S,463000,5,2,2,45.2,2020
46jH4,630800,9,3,3,66.4,1981
46jGU,599000,10,2,7,48.38,1980
46jGo,530000,5,3,0,58.24,2007
46jGh,842000,11,3,2,63.5,1971
46jGb,659525,4,4,4,42.55,2018
46jFo,1090000,8,4,1,84.0,2019
46jF8,635500,4,3,4,41.0,2018
46jEq,597524,7,3,0,57.2,2020
46jE4,1900000,17,4,3,160.0,2002
43pWr,2390000,4,4,4,172.24,2016
46cUQ,864500,7,3,5,58.31,2019
4680h,680000,5,3,5,64.0,2013
466tt,760000,8,2,3,54.6,2009
46fmm,1100000,8,4,3,122.0,2004
45BQY,480000,10,2,0,41.0,1980
46jB6,799000,3,3,2,72.0,1998
46jAK,585000,7,3,7,59.27,2020
46jAv,632324,7,3,1,61.0,2020
46jAr,622601,7,3,4,62.0,2020
46jAn,643086,7,3,4,62.0,2020
46jAj,641109,7,3,2,60.0,2020
46jAf,597524,7,3,0,57.5,2020
463Qb,849000,1,4,0,90.0,2008
2kLjR,614790,4,3,3,62.1,1990
46jy9,869400,5,3,2,63.0,1996
46jyF,550000,7,2,1,42.0,2017
46jyE,535000,10,2,7,50.0,1970
46jxF,716000,4,4,0,79.7,1989
46jxD,525000,4,3,1,53.0,1980
46jvA,599000,4,2,0,50.59,2016
46jwZ,608000,4,3,4,64.0,1978
46jw1,1610000,10,4,8,140.0,2010
44W1q,480000,7,2,2,40.0,2020
44zGX,750000,12,2,3,55.3,2019
4632r,560000,10,3,8,56.46,1975
45Yzt,620000,6,2,1,49.6,2009
45YyZ,1000000,22,2,9,47.0,2009
45YyW,630000,4,4,4,72.0,1980
45YxU,1044000,8,3,2,71.97,2013
45Yyl,935000,8,3,5,68.08,2019
46avH,818000,10,3,2,65.77,2012
467aN,818000,10,3,2,65.77,2012
46jn4,700000,7,2,1,56.5,1970
46joV,512000,4,4,2,64.0,1975
469nC,1420000,7,3,1,84.0,2019
46jmp,617000,12,3,10,56.0,1975
46jkx,1299000,5,5,1,117.0,2004
45iyB,795000,2,6,2,116.0,1989
46jiM,752379,8,4,0,80.1,2021
461HE,650000,6,2,6,56.4,2008
45qk4,539000,3,2,1,41.0,2016
46jil,520000,3,2,2,47.28,1998
46jij,540000,14,3,4,46.86,2019
46jeX,734314,6,3,1,74.93,2020
41hOu,420000,4,2,3,38.1,1970
44PVD,516000,4,3,2,48.0,1970
46cf5,699000,6,3,2,62.74,2015
46jdu,740401,6,4,0,76.33,2020
46jdt,847700,6,4,3,84.77,2020
46jds,789774,6,4,0,81.42,2020
46jdr,763727,6,3,5,74.51,2020
46jdp,641109,7,3,2,58.73,2020
46jdo,597524,7,3,0,57.2,2020
46jdn,636437,7,3,7,58.62,2020
46jdm,626111,7,3,2,59.27,2020
46jdl,643085,7,3,4,61.22,2020
46jdd,585000,10,3,4,68.8,1979
45QSN,595000,10,3,8,57.5,1977
3VewC,799000,8,3,2,73.0,2019
45Dmy,745449,8,4,2,78.02,2021
46j8m,720000,18,2,9,45.0,2000
46j7P,320000,9,1,1,28.5,1979
46j72,559000,10,3,8,56.0,1985
46j5R,3750000,4,4,1,161.0,2004
46j4n,550000,12,3,6,57.0,1980
43UuK,1398000,16,4,7,120.0,2004
45KRq,590000,7,3,2,48.0,1980
45QJM,829000,8,3,1,73.0,2017
4665B,895000,8,4,6,77.62,2016
46j0V,667261,27,2,8,38.58,2021
46614,535900,4,2,0,46.6,1970
44F72,450000,5,1,5,32.0,2010
41Mbu,670000,4,3,1,64.99,2001
45QGp,540000,6,2,3,40.6,2012
465Xg,870000,2,5,1,125.0,2015
46iTC,681868,7,3,1,61.22,2020
45u3R,730000,6,3,2,59.0,2016
46iTB,597524,7,3,0,57.2,2020
46iRU,495000,8,2,2,46.5,2020
46iRQ,636437,7,3,7,58.62,2020
46iRI,632323,7,3,1,61.22,2020
46iRr,529999,3,2,2,45.03,2020
46iQQ,665000,10,3,1,64.5,1978
46iQm,627728,8,3,0,64.1,2021
46iQ8,699000,3,3,3,63.5,1970
465Mh,1760000,17,4,3,160.0,2002
43vii,885000,2,2,2,58.0,2018
46iK1,502976,8,2,1,46.66,2021
44Vdp,590000,2,2,0,51.0,2019
45oxg,528000,10,3,9,50.0,1973
45udm,325000,8,1,8,25.0,2017
43GYu,1950000,3,5,3,222.0,2008
3Pk1i,730000,3,4,2,82.0,1993
3YfCA,999000,4,5,1,163.2,2000
44A98,919000,4,5,0,84.58,1989
46aCM,1420000,5,4,1,95.0,2019
45QPu,510000,12,2,4,44.7,1998
3BtIv,1399000,4,4,1,165.0,2004
438CA,1150000,5,4,1,99.0,2009
465fZ,388995,8,2,2,34.25,2021
462BV,599000,11,3,1,61.0,1980
46ivN,849420,7,3,1,65.34,2018
46iE0,439999,7,2,5,42.0,2020
46iDR,433800,7,2,2,38.21,2020
46iDJ,499999,12,2,6,49.3,1975
46iCc,399000,8,2,7,33.0,2019
46iDG,435000,7,2,5,41.25,2020
46iDB,1880000,8,3,7,116.8,2009
3Zu3V,900000,4,3,4,68.0,2010
460UV,505000,5,2,3,45.5,2020
46iBq,1100000,5,3,0,80.0,2010
46iB7,799999,11,3,4,62.0,1987
46iB6,799999,5,2,1,40.0,2017
46iB3,673000,3,3,2,75.6,2003
46iAO,1690000,6,4,1,119.63,2010
46izX,988000,5,3,1,55.22,2018
46ixi,403535,5,1,1,35.09,2020
46ixh,496748,5,2,2,45.2,2020
46itZ,485000,9,2,1,37.0,1970
46isi,570000,7,3,0,51.9,1978
46irT,530000,5,2,4,53.0,1991
46irH,399900,11,2,5,31.0,1979
45asN,485000,10,2,1,37.0,1970
456UC,1349999,4,4,1,95.0,2019
450FN,917400,6,2,6,66.0,2010
450HF,650000,8,3,1,71.0,1993
46ipO,521366,8,2,0,47.45,2021
46ion,656030,8,3,3,64.96,2021
46inQ,599000,6,2,1,55.3,2000
46imz,1230000,6,2,1,83.0,2000
46img,950000,7,2,3,48.0,2014
464qn,439000,4,2,3,38.0,1971
46ill,824000,2,3,2,102.84,2000
46ili,620000,10,3,10,63.2,1989
45Lo0,932305,5,3,1,73.7,2001
46ikC,1140000,12,3,6,85.0,2004
46ikB,538000,4,3,4,56.82,2021
46ikw,475990,10,2,6,36.8,2021
46iks,1033695,4,3,1,76.56,2021
46ikq,543045,10,2,2,48.85,2022
46ikl,597524,7,3,0,57.2,2020
46ik9,391000,6,1,6,27.4,2020
46ika,652000,6,3,1,68.0,2020
46iii,625936,27,2,8,53.97,2021
46iig,646419,27,2,8,50.11,2021
45cub,430000,4,2,2,47.8,1986
44NQw,1070000,3,4,1,96.99,2002
45ZFy,1950000,2,5,0,300.0,2000
45YOX,758518,6,4,3,76.9,2020
44QjH,599000,7,2,2,42.13,2015
42q9P,769000,8,3,3,67.29,2019
46ib8,680000,5,2,3,60.83,2001
46ib2,949000,3,4,3,122.5,1995
46iaT,729000,11,3,0,57.3,2014
45OvO,589000,5,2,1,46.0,2020
463YE,1100000,8,4,3,122.0,2004
46i5w,340000,10,2,6,30.0,1970
46i5r,429000,10,2,2,30.0,1973
46i4R,545066,7,2,6,43.56,2020
463SS,580000,3,2,2,51.11,2009
464bw,540000,6,2,5,50.0,2010
46hZw,340000,8,1,7,28.0,2021
46hV3,875000,4,3,4,82.0,2003
46hWi,449000,10,2,5,38.0,1973
46hU9,405240,4,2,1,33.77,2019
46hTU,1200000,5,6,4,162.6,1995
46hTN,590000,6,2,4,56.33,2010
46hT1,730000,11,3,7,64.97,2003
463CB,499000,10,2,5,47.1,1985
46hPG,619000,7,3,2,65.0,2020
46hNL,427134,8,1,0,38.01,2021
46hMj,768559,8,4,2,80.1,2021
46hMb,800000,8,3,1,65.23,2017
46hJS,449000,4,2,0,38.0,1985
46hJQ,649000,4,2,2,56.0,2008
46hHz,590000,4,3,4,63.3,1986
45NVN,387000,11,2,9,33.05,1975
46hHy,520000,5,2,2,40.0,2020
46hHo,899000,4,3,0,77.0,2008
46hGA,596910,8,3,1,62.0,2020
45NTZ,1800000,6,6,1,145.0,1999
46hEc,804642,10,4,2,89.5,2021
46hDT,550000,7,2,1,42.0,2016
46hCi,710500,6,4,1,77.0,2020
46hCh,470700,6,2,4,39.0,2020
44W57,970000,9,4,7,96.3,2001
46hBS,559230,8,2,2,49.95,2021
46hzI,690000,7,3,1,54.0,2015
41yBJ,1240000,5,4,4,113.0,1979
46hyb,369063,10,2,1,27.95,2022
45YUO,331500,10,1,1,27.5,2020
46cjd,449000,4,2,2,41.0,2020
46hxe,443900,4,2,3,46.0,2020
46hwt,450000,5,2,1,39.41,2020
4616U,737907,6,3,5,66.0,2020
464EB,531910,6,2,5,43.9,2020
46eNZ,599000,10,4,10,63.0,1972
46huW,2950000,4,3,1,118.0,2002
46hum,450000,12,2,1,49.7,1976
45gSh,499000,7,2,5,49.0,2020
45U7h,987000,5,3,1,94.0,2009
462yj,1049000,7,4,5,81.0,2020
45qIu,1530000,7,4,7,118.0,2006
46hqz,463700,7,2,4,41.71,2020
46hpO,1040000,16,3,7,58.48,2016
46hpK,1020000,11,2,9,52.57,2018
46hoX,470000,10,2,4,48.0,1970
46hoT,570000,10,3,7,57.0,1980
46hnZ,475000,12,2,8,48.0,1978
46hjw,480000,6,1,3,36.0,2005
46hh3,435000,8,2,5,44.0,2020
46hf5,749000,7,3,1,73.0,2001
46hce,469000,5,2,2,38.99,2020
46hcc,599000,10,3,2,61.0,1980
46gIs,626000,5,3,2,60.0,2020
46hbE,644461,8,3,5,63.43,2021
46hb5,825000,11,4,2,93.0,2007
46haa,675000,13,2,7,70.0,2001
46h9s,837000,4,4,3,86.6,1999
46h8O,750000,4,4,1,65.5,1978
45Mf3,1150000,3,3,2,91.0,2014
46h7Y,365000,10,1,9,29.0,1977
46h7h,387000,10,2,9,33.05,1975
46h6z,598000,4,4,0,63.5,1970
46h6q,659000,3,4,3,74.0,1978
46h2L,604500,9,2,4,39.0,2017
464n3,629000,11,2,2,46.5,2019
45YKr,599000,6,2,4,38.0,2019
43rHk,461000,13,2,9,38.5,1977
45Ton,859000,7,2,5,59.24,2013
45Tj0,808810,6,2,6,55.78,2013
42KAf,905850,9,3,6,60.39,2017
42K4A,517050,11,1,3,34.0,2017
46h1C,420000,4,1,1,34.0,1980
46h1a,506000,10,2,5,47.0,1977
42KAe,705000,7,2,4,47.0,2017
45BM3,1400000,2,3,0,82.0,2018
45EZz,749000,7,2,3,58.7,2009
42KAd,705000,7,2,3,47.0,2017
46h0d,624000,8,3,8,63.0,1988
46gZd,644244,7,3,0,57.2,2020
4622a,499000,10,2,7,46.0,1970
46gX5,252300,4,1,2,22.75,2018
46gX2,281000,5,1,2,26.9,2018
46f6x,430000,9,1,1,34.1,2007
46gWY,498000,10,2,8,38.0,1980
46gUI,799000,5,3,5,87.0,2005
46gSC,1065302,1,4,0,113.33,2020
46gRK,529000,4,3,1,52.91,1980
46gPc,720000,6,2,4,50.47,2019
468IX,1550000,2,4,2,158.4,2009
45QQy,4350000,8,4,8,304.0,2012
45CQe,1570000,6,4,2,97.0,2020
44Vj6,1944669,2,5,1,138.52,2020
44Vo9,1738188,2,4,0,109.32,2020
46gOC,490000,10,2,6,35.3,1970
46gNF,595500,6,2,4,49.79,2020
46gND,759000,15,4,5,92.5,1981
46gNy,480000,10,2,1,42.86,1970
45aoo,730000,6,3,4,66.66,2012
45VhM,729000,7,3,4,62.3,2014
46gMa,699000,3,3,3,63.5,1989
46gL7,768380,5,3,3,72.98,2020
46gJy,540000,1,3,1,81.0,2020
46gJs,629000,1,3,0,75.0,2020
45EQL,1880000,2,3,7,110.6,2009
46gIA,648600,4,2,2,56.4,2008
461Kn,619000,11,2,9,47.09,2012
467Wp,560000,3,3,3,54.5,1976
46gDy,619000,6,2,6,48.1,2010
46e4R,566000,10,3,5,63.6,1974
46gCL,599000,3,3,2,66.0,1992
46gBg,465000,6,2,0,47.6,1980
46gyq,530000,4,3,2,60.0,2020
46gv9,380000,10,1,5,26.0,1976
451Ti,2289000,2,4,2,132.82,2017
46guE,408000,5,1,0,34.7,2020
46guo,460000,10,2,0,48.0,1978
46gn5,890000,4,5,0,140.0,1982
40V3X,3199000,3,6,1,324.0,2017
37tHc,2289000,2,4,2,132.82,2017
3fxWK,1559000,6,3,4,96.25,2007
43RSc,1140000,7,2,1,60.27,2018
46grw,620000,10,3,10,47.0,1980
43DKn,1128800,10,4,8,100.0,1997
46gqI,648600,4,2,2,56.4,2008
46gqH,359000,9,1,5,25.0,1975
46goY,950000,2,3,1,130.0,2001
46goI,589000,7,3,2,59.08,2020
46gkY,865000,4,3,3,65.0,2006
3QXcM,1838000,12,6,9,184.0,2018
44NQM,749000,7,3,1,73.1,2001
46gjN,2086986,2,5,0,184.2,2019
461pg,690000,7,2,4,57.0,2017
45LwI,806000,9,3,1,62.0,2014
45VsE,711455,6,4,1,76.86,2020
46gfm,359000,10,1,8,27.85,1970
46gff,1269000,16,3,2,70.5,2016
46gaU,481965,13,2,9,41.0,2021
46gaE,737900,3,2,2,69.0,1997
46gaD,469900,7,2,0,42.0,1972
46g9X,849000,1,4,0,88.86,2008
46g9I,629950,6,2,5,52.5,2006
46g91,749000,7,3,4,71.6,2012
46g7p,559000,10,3,8,57.0,1970
46g79,658000,3,4,3,74.0,1977
46fzj,460000,10,8,8,48.0,1971
44Yta,890000,5,3,1,69.7,2006
44Ysn,800000,3,3,3,97.7,1998
451X4,620000,3,2,1,51.56,2019
466ui,890000,3,3,3,76.0,2010
469vb,435000,5,2,2,35.0,2001
46g4w,580000,10,3,10,58.1,1970
46g0E,648600,4,2,2,56.4,2008
46g0s,580000,3,3,3,61.7,1992
44K3X,599999,6,2,3,42.68,2020
45Ljk,819000,7,3,6,68.0,2009
46fYJ,499000,7,2,2,40.0,2020
46fYy,1499500,1,4,0,187.44,2020
45NWj,1975000,8,5,7,125.0,2018
46fY1,679069,8,3,7,64.63,2021
46fXC,510000,6,2,2,36.5,2020
460Wc,820000,12,4,9,76.5,1985
46fW4,1190000,7,4,0,110.1,2006
46fUw,1288000,10,4,8,112.0,1996
46fUu,1290000,10,4,9,112.0,1996
469Qe,458000,5,2,3,39.0,2020
46fTr,600000,7,2,3,42.0,2020
44O6N,536000,4,3,4,67.0,1978
46fT2,1000000,10,7,0,166.0,1988
455yf,820000,10,2,1,64.1,2005
431d0,960000,3,3,1,115.0,1996
46fPs,479000,12,2,5,48.0,1980
46fPr,615000,10,3,2,61.5,1980
46fN1,589000,5,2,2,56.1,1997
46fMT,237000,26,1,6,18.5,2020
46fMQ,379000,12,2,8,27.5,2020
46fMS,239000,26,1,7,20.0,2020
46fMP,520000,26,2,6,42.0,2020
46fMN,575000,26,2,6,46.1,2020
46fMO,565000,26,2,8,45.3,2020
46fMK,699000,26,3,8,62.0,2020
46fML,630000,26,3,9,53.0,2020
46fMJ,695000,26,3,10,63.7,2020
46fLE,899000,4,3,4,82.0,2004
46fIq,967000,7,4,1,94.0,2020
46fHX,495000,11,2,1,39.7,2019
46fGo,969999,10,3,1,85.0,2000
46fFY,525000,10,2,9,48.0,1979
46fFU,710000,3,5,2,84.4,1993
46fDl,799000,11,3,4,62.0,1987
46fCH,658364,6,3,1,57.87,2020
46fCB,650000,5,3,1,71.0,2020
46fCA,611000,10,3,7,51.0,2021
46fCz,365000,10,1,9,29.0,1970
46fCx,531400,10,2,1,49.2,2022
46fCu,367999,10,1,1,28.5,2022
46fCs,367500,10,1,9,31.0,2021
46fBT,470880,10,2,4,35.85,2019
46fBO,585000,10,3,10,48.0,1970
46fBz,969000,6,4,1,94.0,2020
46fzA,370000,4,2,0,40.9,1978
45yv3,810000,5,3,3,69.78,2015
46fxN,565000,7,2,1,49.0,2004
46ftq,558000,4,3,2,48.0,1970
45Ayy,749000,16,3,9,82.6,2004
46frK,611000,17,3,2,47.0,2019
45QzS,3500000,4,4,4,140.0,2006
45ikQ,499000,7,2,4,42.0,2020
45EiC,439000,10,3,6,50.0,1973
45H3k,418000,10,2,4,36.0,2019
46fqC,565000,3,3,2,48.0,1980
45XFd,699000,3,4,0,62.0,1970
44NZ2,1499000,2,5,0,256.0,2003
46fn6,1420000,7,3,1,84.0,2019
46fjZ,610000,6,2,0,52.0,2010
46fci,4500000,8,4,8,303.0,2012
46f9C,549000,10,3,7,50.0,1978
